,creeps,xp,gold
43,"{'10-20': 2.7, '0-10': 0.5, '20-30': 2.4}","{'10-20': 456.4, '0-10': 323.3, '20-30': 576.7}","{'10-20': 336.4, '0-10': 307.8, '20-30': 490.9}"
44,"{'10-20': 6.8999999999999995, '0-10': 6.1}","{'10-20': 623.7, '0-10': 381.4}","{'10-20': 492.8, '0-10': 416}"
45,{'0-10': 1.4},{'0-10': 304.3},{'0-10': 241.1}
46,{'0-10': 4.9},{'0-10': 449.2},{'0-10': 290.8}
47,{'0-10': 0.3},{'0-10': 173.7},{'0-10': 188.60000000000002}
48,"{'10-20': 0.5, '0-10': 0.6, '20-30': 2}","{'10-20': 354.5, '0-10': 226.3, '20-30': 622.8}","{'10-20': 327.20000000000005, '0-10': 168.39999999999998, '20-30': 411.6}"
49,"{'10-20': 3.9, '0-10': 1.5}","{'10-20': 1412.5, '0-10': 785.8}","{'10-20': 701.3, '0-10': 568.2}"
50,"{'10-20': 0.8, '0-10': 0.30000000000000004}","{'10-20': 1158.5, '0-10': 703.8}","{'10-20': 568.5, '0-10': 448.9}"
51,"{'10-20': 2.1, '0-10': 2.1}","{'10-20': 907, '0-10': 629.7}","{'10-20': 531.3, '0-10': 506.29999999999995}"
52,"{'10-20': 0.6000000000000001, '0-10': 0.5}","{'10-20': 402.4, '0-10': 280.6}","{'10-20': 374.70000000000005, '0-10': 193.3}"
53,"{'10-20': 4, '0-10': 0.7}","{'10-20': 479.6, '0-10': 343.3}","{'10-20': 416.79999999999995, '0-10': 272}"
54,"{'10-20': 3.3, '0-10': 4.9}","{'10-20': 327, '0-10': 408.79999999999995}","{'10-20': 234, '0-10': 214.7}"
55,"{'10-20': 1.2, '0-10': 1.6}","{'10-20': 458.1, '0-10': 376.2}","{'10-20': 417.8, '0-10': 279.9}"
56,{'0-10': 5.5},{'0-10': 407.3},{'0-10': 306.1}
57,"{'10-20': 7.1, '0-10': 7.6}","{'10-20': 501.5, '0-10': 502.8}","{'10-20': 564.9, '0-10': 334.29999999999995}"
58,"{'10-20': 6.3, '0-10': 3.1, '30-end': 0.6, '20-30': 2.1}","{'10-20': 336.9, '0-10': 238.60000000000002, '30-end': 360.2, '20-30': 389.59999999999997}","{'10-20': 330.3, '0-10': 168.60000000000002, '30-end': 281.6, '20-30': 380.7}"
59,"{'10-20': 4, '0-10': 5.3, '20-30': 4.6}","{'10-20': 321.9, '0-10': 277.6, '20-30': 553.8}","{'10-20': 314.1, '0-10': 250.3, '20-30': 428.5}"
60,"{'10-20': 6.2, '0-10': 3.5}","{'10-20': 517, '0-10': 370}","{'10-20': 382.4, '0-10': 301.5}"
61,{'0-10': 5.8},{'0-10': 422.4},{'0-10': 226.9}
62,"{'10-20': 7.800000000000001, '0-10': 5.9, '20-30': 5.300000000000001}","{'10-20': 481.5, '0-10': 331.4, '20-30': 499.4}","{'10-20': 525.9, '0-10': 292.2, '20-30': 473.1}"
63,{'0-10': 2.8},{'0-10': 584},{'0-10': 512.4}
64,{'0-10': 2.4},{'0-10': 533.2},{'0-10': 420}
65,"{'10-20': 3.3, '0-10': 3.5}","{'10-20': 868.8, '0-10': 759.5}","{'10-20': 589.8, '0-10': 404.29999999999995}"
66,{'0-10': 6},{'0-10': 922.8},{'0-10': 544.3}
67,"{'10-20': 2.2, '0-10': 2.3, '20-30': 4.800000000000001}","{'10-20': 1107.8000000000002, '0-10': 619.7, '20-30': 1100.8}","{'10-20': 507.4, '0-10': 394, '20-30': 601.6}"
68,"{'10-20': 8.2, '0-10': 4.9}","{'10-20': 1327.8, '0-10': 531.6}","{'10-20': 1074.4, '0-10': 423.2}"
69,"{'10-20': 3.5, '0-10': 3.5}","{'10-20': 852.6, '0-10': 652.9000000000001}","{'10-20': 628, '0-10': 460.2}"
70,"{'10-20': 6, '0-10': 3.3}","{'10-20': 774.5, '0-10': 517.8}","{'10-20': 515.5, '0-10': 308.4}"
71,"{'10-20': 6.4, '0-10': 3.2, '20-30': 6.1}","{'10-20': 967.3, '0-10': 622.5999999999999, '20-30': 956.1}","{'10-20': 603.2, '0-10': 405.6, '20-30': 615.1}"
72,{'0-10': 1.2},{'0-10': 815.4000000000001},{'0-10': 522.8}
73,{'0-10': 1.4},{'0-10': 648.2},{'0-10': 444.6}
74,"{'10-20': 2, '0-10': 2.4000000000000004, '20-30': 4.699999999999999}","{'10-20': 451.9, '0-10': 311.8, '20-30': 444.9}","{'10-20': 312.1, '0-10': 211.8, '20-30': 443.4}"
75,"{'10-20': 5, '0-10': 5.4, '20-30': 5.9}","{'10-20': 407.79999999999995, '0-10': 426.2, '20-30': 591.8}","{'10-20': 364.1, '0-10': 251.6, '20-30': 528.5}"
76,"{'10-20': 5.1, '0-10': 0.7}","{'10-20': 614.0999999999999, '0-10': 390.5}","{'10-20': 608.6, '0-10': 289.2}"
77,"{'10-20': 3.4000000000000004, '0-10': 5.5, '20-30': 6.6}","{'10-20': 310.3, '0-10': 435.8, '20-30': 560.3}","{'10-20': 251.4, '0-10': 245.3, '20-30': 461.3}"
78,"{'10-20': 6.199999999999999, '0-10': 4.300000000000001, '30-end': 2.4, '20-30': 6}","{'10-20': 536.4000000000001, '0-10': 249.39999999999998, '30-end': 559.6, '20-30': 525.6}","{'10-20': 517, '0-10': 192.9, '30-end': 386, '20-30': 495.70000000000005}"
79,"{'10-20': 5, '0-10': 5.9}","{'10-20': 474.79999999999995, '0-10': 440}","{'10-20': 388.2, '0-10': 303}"
80,"{'10-20': 4.7, '0-10': 6.3, '30-end': 4.1, '20-30': 4.5}","{'10-20': 508, '0-10': 438.1, '30-end': 695.9000000000001, '20-30': 568.6}","{'10-20': 390.8, '0-10': 271.4, '30-end': 603.5999999999999, '20-30': 536.2}"
81,"{'10-20': 6.4, '0-10': 6.9}","{'10-20': 452.5, '0-10': 434}","{'10-20': 361.70000000000005, '0-10': 266.4}"
82,"{'10-20': 1.1, '0-10': 0.2, '20-30': 1.2}","{'10-20': 352.4, '0-10': 275, '20-30': 384.3}","{'10-20': 282.5, '0-10': 143.10000000000002, '20-30': 340.20000000000005}"
83,"{'10-20': 6.5, '0-10': 6.300000000000001, '20-30': 3.5}","{'10-20': 478.09999999999997, '0-10': 436.7, '20-30': 446.5}","{'10-20': 459.9, '0-10': 253.3, '20-30': 440.4}"
84,"{'10-20': 2.8, '0-10': 0.6000000000000001}","{'10-20': 520.2, '0-10': 268.79999999999995}","{'10-20': 561.7, '0-10': 228.5}"
85,"{'10-20': 5.5, '0-10': 5.5, '30-end': 5.2, '20-30': 5.300000000000001}","{'10-20': 371.7, '0-10': 280.1, '30-end': 537.6, '20-30': 570.3}","{'10-20': 294.4, '0-10': 210.4, '30-end': 545.6, '20-30': 408.79999999999995}"
86,{'0-10': 3.1},{'0-10': 696.1},{'0-10': 554.4}
87,{'0-10': 1.4},{'0-10': 716.4},{'0-10': 537.3}
88,"{'10-20': 3.0999999999999996, '0-10': 2.5}","{'10-20': 1016.7, '0-10': 761.3}","{'10-20': 627, '0-10': 504.40000000000003}"
89,"{'10-20': 2.3, '0-10': 1.9}","{'10-20': 1096.5, '0-10': 682.4000000000001}","{'10-20': 615.2, '0-10': 479.8}"
90,"{'10-20': 0.4, '0-10': 0}","{'10-20': 521.6, '0-10': 308.3}","{'10-20': 401.7, '0-10': 318.7}"
91,"{'10-20': 3.1, '0-10': 2.8, '30-end': 3.3333333333333335, '20-30': 7.199999999999999}","{'10-20': 537.5, '0-10': 347.20000000000005, '30-end': 615.8, '20-30': 522.2}","{'10-20': 391.4, '0-10': 252.2, '30-end': 579.9333333333334, '20-30': 380.70000000000005}"
92,"{'10-20': 4.300000000000001, '0-10': 4}","{'10-20': 267.20000000000005, '0-10': 474.79999999999995}","{'10-20': 249.70000000000002, '0-10': 237.6}"
93,"{'10-20': 2.7, '0-10': 4.3}","{'10-20': 346.70000000000005, '0-10': 385}","{'10-20': 293, '0-10': 180.2}"
94,"{'10-20': 0.8, '0-10': 0}","{'10-20': 472.2, '0-10': 212}","{'10-20': 392.3, '0-10': 229.6}"
95,"{'10-20': 7.9, '0-10': 4.9, '20-30': 6.5}","{'10-20': 515.1, '0-10': 425.4, '20-30': 414.7}","{'10-20': 354.5, '0-10': 198.9, '20-30': 418.9}"
96,"{'10-20': 4, '0-10': 4.1, '20-30': 4.5}","{'10-20': 325.3, '0-10': 341.9, '20-30': 419.3}","{'10-20': 318.7, '0-10': 260.2, '20-30': 399.6}"
97,"{'10-20': 7.6, '0-10': 6.3, '30-end': 4.5, '20-30': 4.5}","{'10-20': 438.6, '0-10': 448.9, '30-end': 577, '20-30': 298.8}","{'10-20': 383.1, '0-10': 227.8, '30-end': 336.9, '20-30': 286.1}"
